23, 30, 30, 16, 11, 14, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
23, 23, 30, 16, 11, 14, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 23, 30, 30, 11, 14, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 23, 23, 30, 11, 14, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 16, 23, 30, 30, 14, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 16, 23, 23, 30, 14, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 16, 16, 23, 30, 14, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 11, 16, 23, 30, 30, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 11, 16, 23, 23, 30, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 11, 16, 16, 23, 30, 12, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 11, 14, 16, 23, 30, 30, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 11, 14, 16, 23, 23, 30, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 11, 14, 16, 16, 23, 30, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
4, 11, 14, 14, 16, 23, 30, 29, 2, 19, 27, 5, 17, 15, 9, 13, 6, 28, 18, 26, 7, 10, 20, 25, 24, 22, 21, 1, 8, 3
